Timestamp,Session_Id,Brick_Count,Attempts,Level_Number,Collectibles,DeathByEnemy,DeathByFall,TimeTaken
10/20/2022 12:32:30,"6,38,01,86,59,49,79,20,000.00",2,8,2,7,0,7,80.033
10/20/2022 15:54:50,"6,38,01,87,80,89,63,50,000.00",2,2,1,3,0,1,16.265
10/20/2022 15:55:53,"6,38,01,87,81,52,43,60,000.00",0,17,2,4,5,11,60.967
10/20/2022 16:40:15,"6,38,01,88,08,11,64,40,000.00",2,3,1,3,0,2,23.009
10/20/2022 16:41:42,"6,38,01,88,08,98,44,20,000.00",2,11,2,7,0,10,85.694
10/20/2022 16:42:40,"6,38,01,88,09,56,64,80,000.00",2,7,3,2,1,5,57.172
10/20/2022 17:00:54,"6,38,01,88,20,53,85,40,000.00",4,18,1,1,2,15,8102.566
10/20/2022 17:29:35,"6,38,01,88,37,74,19,00,000.00",4,8,1,3,2,5,69.836
10/20/2022 21:42:24,"6,38,01,89,89,43,44,70,000.00",4,9,1,3,0,8,84.009
10/20/2022 22:22:26,"6,38,01,90,13,45,75,70,000.00",2,6,1,3,0,5,61.919
10/20/2022 23:16:30,"6,38,01,90,45,90,07,30,000.00",2,1,1,3,0,0,17.036
10/20/2022 23:17:02,"6,38,01,90,46,22,25,30,000.00",2,2,2,7,0,1,31.071
10/20/2022 23:17:41,"6,38,01,90,46,60,72,20,000.00",2,2,3,5,0,1,36.819
10/20/2022 23:18:26,"6,38,01,90,47,06,35,00,000.00",1,4,3,5,0,3,41.702
10/21/2022 13:13:24,"6,38,01,95,48,03,53,50,000.00",2,3,1,3,0,2,69.425
10/21/2022 14:39:51,"6,38,01,95,99,90,21,20,000.00",2,6,1,2,1,4,37.647
10/21/2022 14:40:40,"6,38,01,96,00,39,67,80,000.00",2,5,2,2,2,2,47.4
10/21/2022 16:17:02,"6,38,01,96,58,21,33,80,000.00",4,23,1,2,3,19,149.681
10/21/2022 16:20:17,"6,38,01,96,60,16,67,00,000.00",4,22,2,3,3,18,192.682
10/21/2022 16:59:19,"6,38,01,96,83,58,16,70,000.00",2,2,1,3,1,0,40.864
10/21/2022 17:00:03,"6,38,01,96,84,02,50,10,000.00",1,5,2,3,0,4,39.9
10/21/2022 17:01:19,"6,38,01,96,84,78,85,20,000.00",2,9,2,4,0,8,62.051
10/21/2022 17:05:17,"6,38,01,96,87,16,75,10,000.00",2,1,1,2,0,0,25.617
10/21/2022 17:07:02,"6,38,01,96,88,21,10,40,000.00",2,11,2,7,3,7,102.318
10/21/2022 18:23:40,"6,38,01,97,34,18,83,80,000.00",2,4,1,3,1,2,46.417
10/21/2022 18:24:07,"6,38,01,97,34,46,42,10,000.00",2,3,2,5,0,2,26.334
10/21/2022 18:25:24,"6,38,01,97,35,23,58,90,000.00",2,10,2,7,4,5,75.102
10/21/2022 19:21:36,"6,38,01,97,68,94,64,80,000.00",2,4,1,2,1,2,30.99
10/21/2022 19:22:15,"6,38,01,97,69,33,84,30,000.00",2,5,2,3,1,3,37.437
10/21/2022 19:29:13,"6,38,01,98,45,52,87,40,000.00",2,4,1,1,1,2,42.334
10/21/2022 19:29:44,"6,38,01,98,45,83,64,00,000.00",2,5,1,3,2,2,28.981
10/21/2022 19:30:10,"6,38,01,98,46,09,62,40,000.00",1,4,2,5,0,3,24.931
10/21/2022 19:30:35,"6,38,01,98,46,35,09,10,000.00",2,1,1,3,0,0,17.049
10/21/2022 19:31:57,"6,38,01,98,47,16,61,00,000.00",2,16,2,5,0,15,80.633
10/21/2022 19:32:55,"6,38,01,98,47,74,87,60,000.00",2,11,2,6,1,9,55.633
10/21/2022 22:42:15,"6,38,01,98,89,33,27,90,000.00",2,5,1,2,1,3,46.663
10/21/2022 22:42:49,"6,38,01,98,89,67,67,80,000.00",2,2,2,6,0,1,32.883
